Strike,Moneyness,Bid,Mid,Ask,Last,Change,%Chg,Volume,"Open Int","OI Chg",Delta,IV,Type,Time
"2,400.00",+60.75%,"3,697.80","3,713.85","3,729.90",0.00,unch,unch,0,0,unch,0.99285,151.28%,Call,N/A
"2,600.00",+57.48%,"3,498.50","3,514.55","3,530.60",0.00,unch,unch,0,0,unch,0.99218,139.35%,Call,N/A
"2,800.00",+54.21%,"3,299.20","3,315.25","3,331.30",0.00,unch,unch,0,0,unch,0.99146,128.30%,Call,N/A
"3,000.00",+50.94%,"3,099.90","3,116.00","3,132.10",0.00,unch,unch,0,0,unch,0.99057,118.24%,Call,N/A
"3,200.00",+47.67%,"2,900.60","2,916.70","2,932.80",0.00,unch,unch,0,0,unch,0.98969,108.57%,Call,N/A
"3,400.00",+44.40%,"2,701.40","2,717.50","2,733.60",0.00,unch,unch,0,0,unch,0.98859,99.65%,Call,N/A
"3,600.00",+41.13%,"2,502.20","2,518.30","2,534.40",0.00,unch,unch,0,0,unch,0.98735,91.19%,Call,N/A
"3,800.00",+37.86%,"2,303.10","2,319.20","2,335.30",0.00,unch,unch,0,0,unch,0.98580,83.29%,Call,N/A
"4,000.00",+34.59%,"2,103.90","2,120.05","2,136.20",0.00,unch,unch,0,0,unch,0.98402,75.71%,Call,N/A
"4,200.00",+31.32%,"1,904.80","1,920.95","1,937.10",0.00,unch,unch,0,0,unch,0.98193,68.39%,Call,N/A
"4,400.00",+28.05%,"1,710.80","1,721.85","1,732.90",0.00,unch,unch,0,0,unch,0.98993,53.35%,Call,N/A
"4,500.00",+26.41%,"1,611.40","1,622.40","1,633.40",0.00,unch,unch,0,0,unch,0.98890,50.48%,Call,N/A
"4,600.00",+24.78%,"1,511.90","1,522.95","1,534.00",0.00,unch,unch,0,0,unch,0.98749,47.81%,Call,N/A
"4,700.00",+23.14%,"1,412.50","1,423.50","1,434.50",0.00,unch,unch,0,0,unch,0.98621,44.94%,Call,N/A
"4,800.00",+21.51%,"1,313.10","1,324.10","1,335.10",0.00,unch,unch,0,0,unch,0.98448,42.24%,Call,N/A
"4,900.00",+19.87%,"1,213.80","1,224.80","1,235.80",0.00,unch,unch,0,0,unch,0.98224,39.65%,Call,N/A
"5,000.00",+18.23%,"1,114.40","1,125.40","1,136.40",0.00,unch,unch,0,0,unch,0.98002,36.88%,Call,N/A
"5,100.00",+16.60%,"1,015.20","1,026.15","1,037.10",0.00,unch,unch,0,0,unch,0.97713,34.21%,Call,N/A
"5,200.00",+14.96%,915.90,926.90,937.90,844.01,unch,unch,0,1,unch,0.97344,31.60%,Call,02/12/25
"5,300.00",+13.33%,816.80,827.80,838.80,0.00,unch,unch,0,0,unch,0.96875,28.99%,Call,N/A
"5,400.00",+11.69%,717.90,728.85,739.80,0.00,unch,unch,0,0,unch,0.96279,26.38%,Call,N/A
"5,450.00",+10.88%,668.60,679.55,690.50,0.00,unch,unch,0,0,unch,0.95857,25.17%,Call,N/A
"5,500.00",+10.06%,619.40,630.30,641.20,0.00,unch,unch,0,0,unch,0.95394,23.91%,Call,N/A
"5,550.00",+9.24%,570.30,581.25,592.20,0.00,unch,unch,0,0,unch,0.94757,22.77%,Call,N/A
"5,600.00",+8.42%,521.50,532.40,543.30,0.00,unch,unch,0,0,unch,0.94012,21.61%,Call,N/A
